filename,is_oop
example_001,True
example_002,True
example_003,True
example_004,True
example_005,True
example_008,True
example_009,True
example_010,True
example_011,True
example_012,True
example_013,True
example_014,True
example_015,True
example_016,True
example_017,True
example_018,True
example_019,True
example_020,True
example_021,True
example_022,True
example_023,True
example_024,True
example_025,True
example_026,True
example_028,True
example_029,True
example_030,True
example_031,True
example_032,True
example_033,True
example_036,True
example_037,True
example_038,True
example_039,True
example_040,True
example_041,True
example_042,True
example_043,True
example_044,True
example_045,True
example_046,True
example_047,False
example_048,True
example_049,True
example_050,True
example_051,True
example_052,True
example_053,True
example_054,True
example_055,True
example_056,True
example_057,True
example_058,True
example_059,True
example_060,True
example_061,True
example_062,True
example_063,True
example_064,True
example_065,True
example_066,True
example_067,False
example_068,True
example_069,True
example_070,True
example_071,True
example_072,True
example_073,True
example_074,True
example_075,False
example_076,False
example_077,True
example_078,True
example_079,False
example_080,True
example_081,True
example_082,True
example_083,True
example_084,True
example_085,True
example_086,True
example_087,True
example_088,True
example_089,True
example_090,True
example_091,True
example_092,True
example_093,True
example_094,True
example_095,True
example_096,True
example_097,True
example_098,True
example_099,True
example_100,True
example_101,False
example_102,False
example_103,False
example_104,False
example_105,False
example_106,False
example_107,False
example_108,False
example_109,False
example_110,False
example_111,False
example_112,False
example_113,False
example_114,False
example_115,False
example_116,False
example_117,False
example_118,False
example_119,False
example_120,False
example_121,False
example_122,False
example_123,False
example_124,False
example_125,False
example_126,False
example_127,False
example_128,False
example_129,False
example_130,False
example_131,False
example_132,False
example_133,False
example_134,False
example_135,False
example_136,False
example_137,False
example_138,False
example_139,False
example_140,False
example_141,False
example_142,False
example_143,False
example_144,False
example_145,False
example_146,False
example_147,False
example_148,False
example_149,False
example_150,False
example_151,False
example_152,False
example_153,False
example_154,False
example_155,False
example_156,False
example_157,False
example_158,False
example_159,False
example_160,False
example_161,False
example_162,False
example_163,False
example_164,False
example_165,False
example_166,False
example_167,False
example_168,False
example_169,False
example_170,False
example_171,False
example_172,False
example_173,False
example_174,False
example_175,False
example_176,False
example_177,False
example_178,False
example_179,False
example_180,False
example_181,False
example_182,False
example_183,False
example_184,False
example_185,False
example_186,False
example_187,False
example_188,False
example_189,False
example_190,False
example_191,False
example_192,False
example_193,False
example_194,False
example_195,False
